"","Sum of Squares","df","Mean Square","F","Sig."
"Between Groups",51.6874253808972,3,"17.2291417936324","18.4435630913327","1.1479154273077e-08"
"Within Groups",57.9175935753541,62,"0.934154735086356","",""
"Total",109.605018956251,65,"","",""
